satellite,storm_date,kp_category
CHAMP,2001-04-11,G4
CHAMP,2001-04-18,G3
CHAMP,2001-06-09,G2
CHAMP,2001-08-17,G3
CHAMP,2001-09-25,G3
CHAMP,2001-10-02,G3
CHAMP,2001-10-21,G4
CHAMP,2001-10-28,G3
CHAMP,2001-11-06,G5
CHAMP,2001-11-24,G4
CHAMP,2002-04-17,G3
CHAMP,2002-05-11,G3
CHAMP,2002-05-23,G4
CHAMP,2002-09-07,G3
CHAMP,2003-05-29,G4
CHAMP,2003-10-29,G5
CHAMP,2003-11-20,G5
CHAMP,2004-07-27,G5
CHAMP,2004-11-08,G5
CHAMP,2005-01-07,G4
CHAMP,2005-01-18,G4
CHAMP,2005-08-24,G3
GRACE-FO-A,2019-05-14,G2
GRACE-FO-A,2020-09-24,G2
GRACE-FO-A,2021-03-01,G2
GRACE-FO-A,2021-03-20,G2
GRACE-FO-A,2021-05-12,G3
GRACE-FO-A,2021-10-12,G2
GRACE-FO-A,2021-11-04,G4
GRACE-FO-A,2022-01-14,G2
GRACE-FO-A,2022-03-13,G2
GRACE-FO-A,2022-04-10,G3
GRACE-FO-A,2022-08-07,G2
GRACE-FO-A,2022-08-17,G3
GRACE-FO-A,2023-02-27,G3
GRACE-FO-A,2023-03-24,G4
GRACE-FO-A,2023-04-23,G4
GRACE-FO-A,2023-11-05,G3
GRACE-FO-A,2023-12-01,G3
GRACE-FO-A,2024-03-24,G3
GRACE-FO-A,2024-04-19,G3
GRACE-FO-A,2024-05-11,G5
GRACE-FO-A,2024-08-12,G3
GRACE-FO-A,2024-09-12,G3
GRACE-FO-A,2024-09-17,G3
GRACE-FO-A,2024-10-11,G4
GRACE-FO-A,2025-01-01,G3
GRACE-FO-A,2025-04-16,G3
GRACE-FO-A,2025-06-01,G3
